,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
2023,"8200000000","96995000","352583000","$145,308,000","$110,543,000"
2022,"7500000000","99803000","352755000","$153,982,000","$122,151,000"
2021,"6700000000","94680000","351002000","$125,481,000","$104,038,000"
